MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
5052878,,,23/01/2018,12:00:00AM,537.000,0.000,9.000,31.188,351.356,186.198,0.042,0.000,,,,,5.145,4.758,16.175,15.013
5052879,,,23/01/2018,12:00:00AM,682.000,0.000,53.000,78.300,376.183,305.885,0.042,0.000,,,,,23.054,30.507,47.526,30.774
5052881,,,23/01/2018,12:00:00AM,858.000,0.000,16.000,16.624,488.478,370.069,0.042,0.000,,,,,10.622,5.735,7.625,8.999
5052882,,,23/01/2018,12:00:00AM,984.000,0.000,31.000,116.173,506.365,478.483,0.042,0.000,,,,,24.694,6.456,55.837,60.336
5052883,,,23/01/2018,12:00:00AM,1124.000,0.000,94.000,57.243,417.636,706.728,0.042,0.000,,,,,50.059,44.286,28.171,29.072
5052884,,,23/01/2018,12:00:00AM,622.000,0.000,139.000,9.193,418.401,203.934,0.042,0.000,,,,,97.953,41.261,3.446,5.747
5052885,,,23/01/2018,12:00:00AM,701.000,0.000,21.000,11.340,198.846,502.723,0.042,0.000,,,,,10.560,10.755,6.269,5.071
5052886,,,23/01/2018,12:00:00AM,603.000,0.000,156.000,4.548,239.493,363.998,0.042,0.000,,,,,81.774,74.682,1.671,2.877
5052887,,,23/01/2018,12:00:00AM,461.000,0.000,2.000,166.387,171.999,289.558,0.042,0.000,,,,,1.200,0.869,73.748,92.639
5052888,,,23/01/2018,12:00:00AM,945.000,0.000,107.000,43.203,372.856,572.963,0.056,0.000,,,,,68.847,38.967,17.804,25.399
5052889,,,23/01/2018,12:00:00AM,1219.000,0.000,28.000,87.173,569.981,649.974,0.056,0.000,,,,,11.859,16.388,45.124,42.049
5052891,,,23/01/2018,12:00:00AM,1166.000,0.000,1.000,192.315,553.928,612.748,0.055,0.000,,,,,1.169,0.533,103.317,88.998
5052892,,,23/01/2018,12:00:00AM,1162.000,0.000,62.000,171.071,640.621,522.158,0.055,0.000,,,,,29.698,32.836,96.215,74.856
5052893,,,23/01/2018,12:00:00AM,487.000,0.000,19.000,16.686,321.954,165.797,0.056,0.000,,,,,11.469,7.635,8.717,7.969
5052894,,,23/01/2018,12:00:00AM,277.000,0.000,113.000,0.000,203.326,74.511,0.056,0.000,,,,,63.447,49.839,0.000,0.000
5052895,,,23/01/2018,12:00:00AM,1337.000,0.000,194.000,20.556,703.199,634.789,0.056,0.000,,,,,110.779,83.949,9.119,11.437
5052896,,,23/01/2018,12:00:00AM,819.000,0.000,1.000,285.391,323.557,495.735,0.056,0.000,,,,,1.190,0.056,148.240,137.151
5052897,,,23/01/2018,12:00:00AM,585.000,0.000,151.000,10.680,289.922,295.513,0.056,0.000,,,,,103.960,48.038,2.174,8.506
5052898,,,23/01/2018,12:00:00AM,368.000,0.000,93.000,14.668,161.694,206.726,0.055,0.000,,,,,48.937,44.967,6.653,8.015
5052899,,,23/01/2018,12:00:00AM,980.000,0.000,9.000,166.682,441.736,538.863,0.056,0.000,,,,,7.730,1.906,76.130,90.552
5052900,,,23/01/2018,12:00:00AM,1103.000,0.000,32.000,105.883,604.848,498.845,0.056,0.000,,,,,20.205,12.544,55.041,50.842
5052901,,,23/01/2018,12:00:00AM,996.000,0.000,11.000,114.546,455.227,541.430,0.055,0.000,,,,,8.797,2.857,53.240,61.306
5052902,,,23/01/2018,12:00:00AM,251.000,0.000,152.000,0.803,99.819,151.330,0.056,0.000,,,,,73.540,78.639,0.407,0.396
5052903,,,23/01/2018,12:00:00AM,624.000,0.000,7.000,56.328,344.646,279.742,0.055,0.000,,,,,5.812,2.152,26.839,29.489
5052904,,,23/01/2018,12:00:00AM,1076.000,0.000,99.000,84.249,567.035,509.016,0.055,0.000,,,,,52.158,47.666,46.274,37.975
5052905,,,23/01/2018,12:00:00AM,1283.000,0.000,205.000,1.188,799.081,484.148,0.055,0.000,,,,,121.402,84.347,0.294,0.894
5052906,,,23/01/2018,12:00:00AM,1364.000,0.000,144.000,37.218,451.174,913.669,0.055,0.000,,,,,65.513,78.992,23.364,13.854
5052907,,,23/01/2018,12:00:00AM,770.000,0.000,28.000,15.136,258.394,512.211,0.056,0.000,,,,,21.361,7.398,3.948,11.188
5052908,,,23/01/2018,12:00:00AM,1310.000,0.000,,,688.700,621.820,0.050,0.000,54.000,57.000,23.000,20.000,,,,
5052909,,,23/01/2018,12:00:00AM,843.000,0.000,6.000,47.655,442.445,400.811,0.050,0.000,,,,,5.211,0.889,24.639,23.016
5052910,,,23/01/2018,12:00:00AM,542.000,0.000,53.000,8.662,378.063,163.989,0.050,0.000,,,,,33.249,20.633,3.694,4.968
5052911,,,23/01/2018,12:00:00AM,1139.000,0.000,7.000,296.198,745.085,394.514,0.050,0.000,,,,,4.205,3.498,151.374,144.824
5052912,,,23/01/2018,12:00:00AM,664.000,0.000,88.000,7.206,203.520,461.277,0.050,0.000,,,,,43.772,44.794,2.783,4.423
5052913,,,23/01/2018,12:00:00AM,1500.000,0.000,35.000,77.338,720.984,779.937,0.050,0.000,,,,,16.314,19.339,37.781,39.557
5052914,,,23/01/2018,12:00:00AM,962.000,0.000,186.000,10.589,327.190,635.614,0.050,0.000,,,,,92.850,93.527,4.537,6.052
5052915,,,23/01/2018,12:00:00AM,84.000,0.000,76.000,8.617,48.766,35.576,0.050,0.000,,,,,38.633,37.973,4.285,4.332
5052916,,,23/01/2018,12:00:00AM,574.000,0.000,67.000,44.488,253.664,321.251,0.050,0.000,,,,,27.433,39.876,22.950,21.538
5052917,,,23/01/2018,12:00:00AM,498.000,0.000,38.000,59.262,292.367,206.343,0.050,0.000,,,,,25.549,13.152,29.329,29.933
5052918,,,23/01/2018,12:00:00AM,794.000,0.000,156.000,13.284,363.927,431.017,0.050,0.000,,,,,71.173,85.386,7.162,6.122
5052919,,,23/01/2018,12:00:00AM,974.000,0.000,11.000,260.706,513.123,461.015,0.050,0.000,,,,,9.860,1.797,129.189,131.517
5052920,,,23/01/2018,12:00:00AM,909.000,0.000,52.000,105.445,434.248,474.977,0.050,0.000,,,,,30.161,22.267,40.088,65.357
5052921,,,23/01/2018,12:00:00AM,1512.000,0.000,95.000,7.925,838.966,673.450,0.050,0.000,,,,,60.923,34.645,2.988,4.937
5052922,,,23/01/2018,12:00:00AM,785.000,0.000,50.000,11.736,402.298,382.918,0.050,0.000,,,,,21.185,29.423,9.254,2.482
5052923,,,23/01/2018,12:00:00AM,12.000,0.000,0.000,27.377,12.004,0.295,0.050,0.000,,,,,0.300,0.000,13.706,13.671
5052924,,,23/01/2018,12:00:00AM,1410.000,0.000,23.000,187.256,582.065,828.516,0.050,0.000,,,,,7.941,15.705,112.733,74.523
5052925,,,23/01/2018,12:00:00AM,316.000,0.000,130.000,0.233,131.314,184.861,0.050,0.000,,,,,69.669,60.864,0.178,0.055
5052926,,,23/01/2018,12:00:00AM,583.000,0.000,12.000,96.219,364.531,218.937,0.050,0.000,,,,,7.526,5.046,51.526,44.693
5052927,,,23/01/2018,12:00:00AM,767.000,0.000,166.000,20.120,410.799,357.136,0.050,0.000,,,,,88.003,78.987,9.436,10.684
5052928,,,23/01/2018,12:00:00AM,2190.000,0.000,444.000,1.844,1078.378,1112.273,0.057,0.000,,,,,222.194,222.552,0.874,0.970
5052929,,,23/01/2018,12:00:00AM,991.000,0.000,9.000,289.671,405.420,585.821,0.057,0.000,,,,,6.007,3.923,141.441,148.230
5052930,,,23/01/2018,12:00:00AM,867.000,0.000,95.000,69.857,422.396,445.095,0.058,0.000,,,,,55.823,39.341,35.074,34.783
5052931,,,23/01/2018,12:00:00AM,761.000,0.000,3.000,39.643,384.258,377.115,0.058,0.000,,,,,2.332,1.041,19.830,19.813
5052932,,,23/01/2018,12:00:00AM,2110.000,0.000,0.000,683.027,1288.011,822.395,0.057,0.000,,,,,0.534,0.000,354.610,328.417
5052933,,,23/01/2018,12:00:00AM,784.000,0.000,89.000,56.433,343.824,440.612,0.058,0.000,,,,,34.385,55.062,29.783,26.650
5052934,,,23/01/2018,12:00:00AM,1227.000,0.000,53.000,137.272,698.827,528.489,0.058,0.000,,,,,35.207,18.346,60.317,76.955
5052935,,,23/01/2018,12:00:00AM,869.000,0.000,35.000,91.544,401.448,468.342,0.058,0.000,,,,,13.465,22.108,51.965,39.579
5052936,,,23/01/2018,12:00:00AM,744.000,0.000,8.000,313.610,288.977,455.888,0.057,0.000,,,,,3.747,5.063,157.283,156.327
5052937,,,23/01/2018,12:00:00AM,1151.000,0.000,0.000,155.705,511.821,639.548,0.057,0.000,,,,,0.664,0.003,78.021,77.684
5052938,,,23/01/2018,12:00:00AM,893.000,0.000,133.000,33.851,641.658,251.660,0.058,0.000,,,,,82.695,50.588,15.737,18.114
5052940,,,23/01/2018,12:00:00AM,179.000,0.000,46.000,10.284,102.983,76.260,0.057,0.000,,,,,23.301,23.477,5.840,4.444
5052941,,,23/01/2018,12:00:00AM,436.000,0.000,208.000,7.665,347.803,88.441,0.057,0.000,,,,,107.582,100.642,4.144,3.521
5052942,,,23/01/2018,12:00:00AM,992.000,0.000,72.000,75.808,508.336,484.404,0.058,0.000,,,,,37.173,35.783,38.403,37.405
5052944,,,23/01/2018,12:00:00AM,654.000,0.000,104.000,33.317,223.977,430.575,0.057,0.000,,,,,51.949,52.834,17.151,16.166
5052945,,,23/01/2018,12:00:00AM,728.000,0.000,30.000,39.949,349.608,378.991,0.058,0.000,,,,,15.501,15.248,19.268,20.681
5052946,,,23/01/2018,12:00:00AM,307.000,0.000,86.000,19.309,173.210,134.358,0.057,0.000,,,,,45.111,41.772,10.034,9.275
5052947,,,23/01/2018,12:00:00AM,109.000,0.000,2.000,16.621,59.758,49.826,0.057,0.000,,,,,0.930,2.024,8.430,8.191
5052948,,,23/01/2018,12:00:00AM,567.000,0.000,154.000,17.154,323.142,244.747,0.105,0.000,,,,,81.525,73.007,8.261,8.893
5052949,,,23/01/2018,12:00:00AM,450.000,0.000,102.000,51.612,269.752,180.555,0.105,0.000,,,,,63.414,38.758,20.496,31.116
5052950,,,23/01/2018,12:00:00AM,922.000,0.000,169.000,22.954,445.450,476.616,0.105,0.000,,,,,87.780,81.323,11.065,11.889
5052951,,,23/01/2018,12:00:00AM,1444.000,0.000,468.000,2.474,697.711,746.820,0.105,0.000,,,,,201.557,267.140,2.041,0.433
