MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
5053039,,,13/01/2018,12:00:00AM,470.000,0.000,22.000,232.957,340.513,130.404,0.052,0.000,,,,,21.953,0.278,122.312,110.645
5053040,,,13/01/2018,12:00:00AM,1052.000,0.000,4.000,1335.627,777.782,274.372,0.052,0.000,,,,,4.876,0.000,633.783,701.844
5053041,,,13/01/2018,12:00:00AM,333.000,0.000,133.000,11.041,264.521,68.832,0.052,0.000,,,,,85.414,48.151,7.397,3.644
5053042,,,13/01/2018,12:00:00AM,306.000,0.000,159.000,59.006,237.808,68.887,0.053,0.000,,,,,151.769,7.438,26.191,32.815
5053043,,,13/01/2018,12:00:00AM,18.000,0.000,14.000,0.001,18.205,0.170,0.052,0.000,,,,,10.558,3.692,0.001,0.000
5053046,,,13/01/2018,12:00:00AM,559.000,0.000,39.000,58.224,410.854,148.423,0.052,0.000,,,,,15.483,23.873,42.483,15.741
5053092,,,13/01/2018,12:00:00AM,436.000,0.000,121.000,17.449,243.528,192.882,0.051,0.000,,,,,62.381,59.134,8.193,9.256
5053127,,,13/01/2018,12:00:00AM,1006.000,0.000,731.000,12.995,816.128,190.771,0.057,0.000,,,,,658.830,72.593,5.863,7.132
5053260,,,13/01/2018,12:00:00AM,816.000,0.000,806.000,21.379,706.614,109.704,0.111,0.000,,,,,776.454,30.304,7.253,14.126
5053262,,,13/01/2018,12:00:00AM,494.000,0.000,321.000,50.719,469.837,24.766,0.111,0.000,,,,,317.342,3.755,17.110,33.609
5053263,,,13/01/2018,12:00:00AM,2528.000,0.000,2821.000,33.146,2260.562,268.157,0.111,0.000,,,,,2695.505,125.583,7.064,26.082
5053264,,,13/01/2018,12:00:00AM,747.000,0.000,665.000,3.542,668.121,79.677,0.111,0.000,,,,,648.353,17.097,1.151,2.391
5053265,,,13/01/2018,12:00:00AM,1820.000,0.000,392.000,78.224,1423.558,396.750,0.111,0.000,,,,,378.035,14.750,44.175,34.049
5053268,,,13/01/2018,12:00:00AM,211.000,0.000,4.000,230.944,160.417,51.102,0.111,0.000,,,,,3.781,0.235,120.316,110.628
5053269,,,13/01/2018,12:00:00AM,479.000,0.000,319.000,0.477,412.609,67.193,0.111,0.000,,,,,299.884,19.326,0.220,0.257
5053331,,,13/01/2018,12:00:00AM,587.000,1.000,478.000,13.025,469.739,117.786,0.720,0.000,,,,,464.029,14.540,4.918,8.107
5053332,,,13/01/2018,12:00:00AM,214.000,1.000,0.000,331.245,185.010,29.082,0.721,0.000,,,,,0.322,0.000,174.025,157.220
5053333,,,13/01/2018,12:00:00AM,1728.000,1.000,11.000,40.507,1589.092,138.973,0.719,0.000,,,,,10.353,1.175,12.410,28.097
5053334,,,13/01/2018,12:00:00AM,6741.000,1.000,2972.000,0.008,2515.795,4226.159,0.718,0.000,,,,,1172.054,1800.818,0.008,0.000
5053335,,,13/01/2018,12:00:00AM,1002.000,1.000,157.000,14.336,940.582,61.666,0.722,0.000,,,,,101.648,55.572,12.676,1.660
5053336,,,13/01/2018,12:00:00AM,828.000,1.000,287.000,406.324,537.604,290.636,0.719,0.000,,,,,264.682,23.154,173.516,232.808
5053337,,,13/01/2018,12:00:00AM,87.000,1.000,16.000,0.281,51.537,36.413,0.718,0.000,,,,,10.875,5.163,0.269,0.012
